id,tenquan,diachi,rating
19,The Coffee Bean & Tea Leaf - Nguyễn Huệ,"101 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",4.5
20,Thanh Thành Đạt - Hủ Tiếu Nam Vang - 43 Đinh Tiên Hoàng,"43 Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",4.5
21,Bánh Ướt Lòng Gà Bảo Thư - Đào Duy Từ,"82 Đào Duy Từ, P. 5, Quận 10, TP. HCM",4.5
22,Cơm Gà Xối Mỡ Vi Anh - Lê Văn Lương,"190 Lê Văn Lương, P. Tân Hưng, Quận 7, TP. HCM",4.5
23,Bánh Canh Ghẹ - Súp Ghẹ Tóc Tiên & Đồ Ăn,"1369m Phạm Thế Hiển, P. 6, Quận 8, TP. HCM",4.5
24,Cơm Mì MaLai - Nguyễn Xí,"212 Nguyễn Xí, P. 26, Bình Thạnh, TP. HCM",4.5
25,Con Gà Mái - Cơm Gà Phú Yên - Song Hành,"6 Song Hành, P. An Phú, Thành Phố Thủ Đức, TP. HCM",4.5
26,Mr.Eco Salad Healthy - Food & Drinks - Phan Đình Phùng,"185/9 Phan Đình Phùng, P.17, Phú Nhuận, TP. HCM",4.5
27,"Cơm Gà, Cháo Gỏi & Miến Gà Đất Quảng Quán - Bùi Đình Tuý","16 Bùi Đình Túy, P. 25, Bình Thạnh, TP. HCM",4.5
28,"Má Phượng - Nem Nướng, Bún Thịt Nướng & Bánh Canh - Đặc Sản Phú Yên","230 Cây Trâm (Nguyễn Văn Khối), Gò Vấp, TP. HCM",4.5
29,Busan Korean Food - Món Hàn Quốc - Nguyễn Ảnh Thủ,"151/2B Nguyễn Ảnh Thủ, X. Trung Chánh, Hóc Môn, TP. HCM",4.5
30,Út Trang - Bánh Canh Cua & Súp Cua - Nguyễn Đình Chiểu,"289 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",4.5
31,Bún Chả Hà Nội Số 1 Lala - 149A Nguyễn Gia Trí,"149A Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",4.5
32,3 Con Gà - Cơm Gà Phú Yên - 90 Điện Biên Phủ,"90 Điện Biên Phủ, P. 17, Bình Thạnh, TP. HCM",0
33,Cơm Tấm - Dì Út,"55/8 Bis Trần Đình Xu, P. Cầu Kho, Quận 1, TP. HCM",4.5
