idquan,rating,item,price
136,4.5,Phin sữa đá - 500ml,34000
137,4.5,Phin sữa đá - 500ml,34000
138,4.5,Phin sữa đá - 500ml,34000
139,4.5,Phin sữa đá - 500ml,34000
140,4.5,Phin sữa đá - 500ml,34000
141,4.5,Phin sữa đá - 500ml,34000
142,4.5,Phin sữa đá - 500ml,34000
143,4.5,Phin sữa đá - 500ml,34000
144,4.5,Phin sữa đá - 500ml,34000
145,4.5,Phin sữa đá - 500ml,34000
146,4.5,Phin sữa đá - 500ml,34000
147,4.5,Phin sữa đá - 500ml,34000
148,0,Phin sữa đá - 500ml,34000
149,4.5,Phin sữa đá - 500ml,34000
150,4.5,Phin sữa đá - 500ml,34000
151,4.5,Phin sữa đá - 500ml,34000
152,5,Phin sữa đá - 500ml,34000
153,4.5,Phin sữa đá - 500ml,34000
154,4.5,Phin sữa đá - 500ml,34000
155,3.5,Phin sữa đá - 500ml,34000
78,4.5,Phin sữa đá - 500ml,34000
78,4.5,Phin đá - 500ml,29000
78,4.5,Trà sữa hạt dẻ trân châu - 700ml,38000
78,4.5,Trà sữa ô long nhài - 700ml,34000
78,4.5,Trà sữa Cookies trân châu - 700ml,38000
78,4.5,Trà sữa hạt dẻ - 700ml,34000
78,4.5,Trà sữa hoa lài - 700ml,30000
78,4.5,Trà sữa gạo lứt phô mai tươi - 700ml,38000
78,4.5,Trà sữa ô long nhài trân châu - 700ml,38000
78,4.5,Trà xanh gạo lứt - 700ml,25000
78,4.5,Trà gạo lứt kem trứng nướng - 700ml,35000
78,4.5,Trà ô long nhài kem trứng nướng - 700ml,35000
78,4.5,Trà sữa nguyên lá - 700ml,30000
78,4.5,Trà sữa hoa lài trân châu - 700ml,35000
78,4.5,Trà artiso xí muội - 700ml,33000
78,4.5,Hồng trà trân châu - 700ml,25000
78,4.5,Trà sữa gạo lứt trân châu đen mini - 700ml,38000
78,4.5,Phin Hazelnut kem muối - 500ml,38000
78,4.5,Trà ổi xá lị - 700ml,35000
78,4.5,Trà sữa kem phô mai - 700ml,38000
78,4.5,Trà lài Double Cheese - 700ml,38000
78,4.5,Hồng trà bánh quy kem trứng nướng - 700ml,38000
78,4.5,Hồng đài thanh yên - 700ml,40000
78,4.5,Phin sữa tươi sương sáo - 700ml,38000
78,4.5,Trà nha đam chanh dây tươi - 700ml,38000
78,4.5,Trà sữa sốt khoai môn tươi - 700ml,38000
78,4.5,Matcha latte - 700ml,38000
78,4.5,Trà sữa gạo lứt - 700ml,34000
78,4.5,Trà ô long nhài - 700ml,25000
78,4.5,Trà sữa Cookies - 700ml,34000
78,4.5,Trà ô mai mơ tắc - 700ml,33000
78,4.5,Ô long Rosemary đào - 700ml,40000
78,4.5,Trà sữa cà phê hạt phỉ - 700ml,38000
79,4.5,Phin đá - 500ml,29000
79,4.5,Phin sữa tươi sương sáo - 700ml,38000
79,4.5,Phin Hazelnut kem muối - 500ml,38000
80,4.5,Phin đá - 500ml,29000
81,4.5,Phin đá - 500ml,29000
82,4.5,Phin đá - 500ml,29000
83,4.5,Phin đá - 500ml,29000
84,4.5,Phin đá - 500ml,29000
85,4.5,Phin đá - 500ml,29000
86,4.5,Phin đá - 500ml,29000
87,4.5,Phin đá - 500ml,29000
88,4.5,Phin đá - 500ml,29000
89,4.5,Phin đá - 500ml,29000
90,4.5,Phin đá - 500ml,29000
91,4.5,Phin đá - 500ml,29000
92,4.5,Phin đá - 500ml,29000
93,4.5,Phin đá - 500ml,29000
94,4.5,Phin đá - 500ml,29000
95,4.5,Phin đá - 500ml,29000
96,4.5,Phin đá - 500ml,29000
97,4.5,Phin đá - 500ml,29000
98,4.5,Phin đá - 500ml,29000
99,4.5,Phin đá - 500ml,29000
100,4.5,Phin đá - 500ml,29000
101,4.5,Phin đá - 500ml,29000
102,4.5,Phin đá - 500ml,29000
103,4.5,Phin đá - 500ml,29000
104,4.5,Phin đá - 500ml,29000
105,4.5,Phin đá - 500ml,29000
106,5,Phin đá - 500ml,29000
